Time;Fitness;Cache Size;N;population_dim;tournament_size;crossing_probability;mutation_probability;exchange_num;steps
21.332552433013916;1;300;12;200;3;0.85;0.05;2;300
21.133426904678345;6;300;12;200;3;0.85;0.05;2;300
20.940067768096924;6;300;12;200;3;0.85;0.05;2;300
21.182563304901123;4;300;12;200;3;0.85;0.05;2;300
20.967331171035767;3;300;12;200;3;0.85;0.05;2;300
20.582486867904663;4;300;12;200;3;0.85;0.05;2;300
20.79260540008545;3;300;12;200;3;0.85;0.05;2;300
21.030054092407227;8;300;12;200;3;0.85;0.05;2;300
20.790212869644165;4;300;12;200;3;0.85;0.05;2;300
20.603742599487305;4;300;12;200;3;0.85;0.05;2;300
20.840145587921143;4;300;12;200;3;0.85;0.05;2;300
1.991748571395874;0;30;12;200;3;0.85;0.05;2;300
20.900554418563843;4;300;12;200;3;0.85;0.05;2;300
21.188103437423706;4;300;12;200;3;0.85;0.05;2;300
21.044440031051636;3;300;12;200;3;0.85;0.05;2;300
20.921199321746826;4;300;12;200;3;0.85;0.05;2;300
3.130436658859253;0;43;12;200;3;0.85;0.05;2;300
20.982738733291626;4;300;12;200;3;0.85;0.05;2;300
20.92539143562317;7;300;12;200;3;0.85;0.05;2;300
20.779341220855713;4;300;12;200;3;0.85;0.05;2;300
20.75602149963379;5;300;12;200;3;0.85;0.05;2;300
21.083870887756348;5;300;12;200;3;0.85;0.05;2;300
20.835880994796753;6;300;12;200;3;0.85;0.05;2;300
21.009989023208618;4;300;12;200;3;0.85;0.05;2;300
20.973403692245483;4;300;12;200;3;0.85;0.05;2;300
20.825448513031006;3;300;12;200;3;0.85;0.05;2;300
21.147053718566895;4;300;12;200;3;0.85;0.05;2;300
21.436924934387207;3;300;12;200;3;0.85;0.05;2;300
21.700984001159668;4;300;12;200;3;0.85;0.05;2;300
21.385209321975708;5;300;12;200;3;0.85;0.05;2;300
21.283735036849976;3;300;12;200;3;0.85;0.05;2;300
21.858967304229736;4;300;12;200;3;0.85;0.05;2;300
21.11373019218445;4;300;12;200;3;0.85;0.05;2;300
20.993084192276;4;300;12;200;3;0.85;0.05;2;300
21.28641676902771;7;300;12;200;3;0.85;0.05;2;300
21.091707944869995;2;300;12;200;3;0.85;0.05;2;300
21.2045841217041;3;300;12;200;3;0.85;0.05;2;300
21.299789667129517;4;300;12;200;3;0.85;0.05;2;300
21.207748889923096;3;300;12;200;3;0.85;0.05;2;300
21.305689811706543;3;300;12;200;3;0.85;0.05;2;300
21.015272855758667;6;300;12;200;3;0.85;0.05;2;300
21.055115222930908;5;300;12;200;3;0.85;0.05;2;300
21.036498546600342;4;300;12;200;3;0.85;0.05;2;300
21.367618083953857;3;300;12;200;3;0.85;0.05;2;300
21.956501245498657;4;300;12;200;3;0.85;0.05;2;300
21.84261918067932;5;300;12;200;3;0.85;0.05;2;300
21.664341688156128;3;300;12;200;3;0.85;0.05;2;300
21.6072518825531;5;300;12;200;3;0.85;0.05;2;300
21.48757529258728;4;300;12;200;3;0.85;0.05;2;300
21.511757612228394;5;300;12;200;3;0.85;0.05;2;300
26.849982976913452;6;300;12;250;3;0.85;0.05;2;300
27.014319896697998;4;300;12;250;3;0.85;0.05;2;300
26.95885682106018;4;300;12;250;3;0.85;0.05;2;300
26.99468970298767;5;300;12;250;3;0.85;0.05;2;300
27.21781635284424;3;300;12;250;3;0.85;0.05;2;300
27.122265338897705;5;300;12;250;3;0.85;0.05;2;300
10.176417350769043;0;105;12;250;3;0.85;0.05;2;300
27.88748550415039;5;300;12;250;3;0.85;0.05;2;300
27.07715153694153;2;300;12;250;3;0.85;0.05;2;300
26.947837114334106;4;300;12;250;3;0.85;0.05;2;300
27.07990550994873;4;300;12;250;3;0.85;0.05;2;300
27.368977546691895;3;300;12;250;3;0.85;0.05;2;300
27.24284315109253;5;300;12;250;3;0.85;0.05;2;300
26.98763656616211;5;300;12;250;3;0.85;0.05;2;300
27.118592977523804;3;300;12;250;3;0.85;0.05;2;300
27.34789776802063;3;300;12;250;3;0.85;0.05;2;300
27.726251363754272;3;300;12;250;3;0.85;0.05;2;300
27.769254684448242;5;300;12;250;3;0.85;0.05;2;300
27.17516303062439;3;300;12;250;3;0.85;0.05;2;300
27.30953860282898;5;300;12;250;3;0.85;0.05;2;300
27.537026166915894;5;300;12;250;3;0.85;0.05;2;300
